Country,Clicks,Impressions,CTR,Position
United Kingdom,33,975,3.38%,27.31
United States,13,1983,0.66%,27.36
Canada,5,185,2.7%,14.36
India,2,165,1.21%,19.12
Germany,1,87,1.15%,10.46
Indonesia,1,55,1.82%,17.55
Netherlands,1,44,2.27%,11.36
Sweden,1,40,2.5%,14.28
Japan,1,31,3.23%,14.9
Singapore,1,25,4%,8.04
Brazil,0,179,0%,37.23
Australia,0,157,0%,13.57
Philippines,0,78,0%,24.81
Malaysia,0,67,0%,29.66
South Korea,0,65,0%,20.8
Pakistan,0,62,0%,13.03
France,0,46,0%,16.17
Vietnam,0,44,0%,32.98
Turkey,0,41,0%,20.71
Russia,0,38,0%,34.92
Mexico,0,33,0%,26.15
Spain,0,32,0%,20.72
Nigeria,0,30,0%,7.23
Belgium,0,29,0%,10.17
Poland,0,29,0%,14.62
Italy,0,26,0%,15.81
South Africa,0,24,0%,17.12
Ireland,0,23,0%,18.48
Bangladesh,0,22,0%,13.27
Colombia,0,21,0%,24.76
Argentina,0,21,0%,43.9
Portugal,0,20,0%,10.75
Kenya,0,19,0%,18.53
New Zealand,0,18,0%,10.11
Norway,0,17,0%,8.59
Switzerland,0,17,0%,11.71
Egypt,0,17,0%,24.41
Saudi Arabia,0,16,0%,13.81
Thailand,0,13,0%,15.31
Taiwan,0,13,0%,27.69
Finland,0,12,0%,9.58
Hong Kong,0,12,0%,9.92
Iran,0,12,0%,18.33
Ukraine,0,11,0%,18.73
Iraq,0,11,0%,30.91
Greece,0,10,0%,11.2
Nepal,0,9,0%,4.78
Denmark,0,9,0%,7.56
United Arab Emirates,0,9,0%,9.11
Ghana,0,8,0%,7.75
China,0,8,0%,11.75
Czechia,0,8,0%,14.12
Algeria,0,7,0%,28.14
Chile,0,7,0%,38.57
Uganda,0,6,0%,5.83
Hungary,0,6,0%,7.33
Kuwait,0,6,0%,8.17
Iceland,0,6,0%,10.67
Austria,0,6,0%,12.17
Bulgaria,0,6,0%,13.17
Myanmar (Burma),0,6,0%,15.67
Ethiopia,0,6,0%,24.33
Ecuador,0,6,0%,47.67
Serbia,0,5,0%,10
Israel,0,5,0%,10.8
Romania,0,5,0%,12.2
Qatar,0,5,0%,16.4
Venezuela,0,5,0%,19.4
Dominican Republic,0,5,0%,26.8
Cameroon,0,4,0%,1
Tunisia,0,4,0%,7.5
Slovakia,0,4,0%,7.75
Rwanda,0,4,0%,9.5
Georgia,0,4,0%,11
Morocco,0,4,0%,12.25
Jamaica,0,4,0%,12.75
Cambodia,0,4,0%,21.5
Azerbaijan,0,4,0%,21.75
Barbados,0,4,0%,24.75
Jordan,0,4,0%,25.5
Paraguay,0,4,0%,29
Kazakhstan,0,4,0%,37.75
Uruguay,0,4,0%,56.75
Brunei,0,3,0%,5.67
Puerto Rico,0,3,0%,7.33
Croatia,0,3,0%,10.33
Trinidad & Tobago,0,3,0%,10.33
Guatemala,0,3,0%,15
Cyprus,0,3,0%,19
Peru,0,3,0%,23.67
Unknown Region,0,3,0%,27.33
Oman,0,3,0%,28.33
El Salvador,0,3,0%,36.33
Costa Rica,0,3,0%,48.67
Bhutan,0,2,0%,4.5
Latvia,0,2,0%,5
Libya,0,2,0%,6.5
Estonia,0,2,0%,8
Luxembourg,0,2,0%,9
Sri Lanka,0,2,0%,11.5
Lithuania,0,2,0%,15
Cuba,0,2,0%,15.5
Congo - Kinshasa,0,2,0%,17
Slovenia,0,2,0%,21
Armenia,0,2,0%,22.5
Belarus,0,2,0%,27
Mauritius,0,2,0%,29.5
Albania,0,2,0%,52
Lesotho,0,1,0%,1
American Samoa,0,1,0%,3
Malawi,0,1,0%,4
Papua New Guinea,0,1,0%,4
Seychelles,0,1,0%,4
Guernsey,0,1,0%,5
Isle of Man,0,1,0%,7
Malta,0,1,0%,7
Yemen,0,1,0%,7
Turkmenistan,0,1,0%,8
Burundi,0,1,0%,9
St. Lucia,0,1,0%,9
Solomon Islands,0,1,0%,9
Fiji,0,1,0%,10
Nicaragua,0,1,0%,11
St. Helena,0,1,0%,11
Belize,0,1,0%,17
Laos,0,1,0%,20
Zimbabwe,0,1,0%,20
Macedonia,0,1,0%,25
Tanzania,0,1,0%,30
Kosovo,0,1,0%,32
Bolivia,0,1,0%,39
Madagascar,0,1,0%,43
Uzbekistan,0,1,0%,46
Bosnia & Herzegovina,0,1,0%,47
Senegal,0,1,0%,52
French Guiana,0,1,0%,53
Réunion,0,1,0%,63