Top queries,Clicks,Impressions,CTR,Position
deflected double weave,2,6,33.33%,18.67
deflected double weave patterns,1,2,50%,17.5
pearl scarf,0,733,0%,46.69
clapsed,0,500,0%,7.89
lap wrap,0,144,0%,7.9
red grey cushions,0,109,0%,40.5
novelty bags,0,100,0%,59.87
asymmetrical bag,0,88,0%,37.85
red and grey cushions,0,80,0%,18.16
novelty purses,0,64,0%,53.83
golden scarf,0,59,0%,26.42
cushions red and grey,0,55,0%,36.33
grey and red cushions,0,48,0%,30.38
canvas scarf,0,47,0%,10.15
honey house,0,47,0%,57.83
diamond scarf,0,44,0%,60
caramel blanket,0,33,0%,31.82
bouquet scarf,0,25,0%,74.16
novelty purse,0,23,0%,46.83
pink table mats and coasters,0,22,0%,21.82
novelty bag,0,20,0%,53.9
pearl scarves,0,18,0%,79.61
wrap lap,0,16,0%,6.69
anne marie weaver,0,15,0%,36.4
silk blend scarf,0,15,0%,58.53
weave scarf,0,13,0%,39.31
jazzy bags,0,12,0%,12.42
weave cushions,0,12,0%,54.58
undulating twill,0,11,0%,68.64
jazzy bag,0,10,0%,7.9
asymetrical,0,10,0%,33.7
needles holder,0,9,0%,63.22
waffle pattern blanket,0,9,0%,93.78
ukcraftfairs,0,8,0%,24.25
honeyhouse,0,8,0%,37
brooks bouquet,0,8,0%,42.25
alpaca cushion,0,7,0%,98.57
craft fairs near me,0,6,0%,1
novelty scarf,0,6,0%,38
canvaspattern,0,6,0%,65.17
scarves with pearls,0,6,0%,68.33
green purse scarf,0,5,0%,12.2
grey red cushions,0,5,0%,24.2
diamond pattern scarf,0,5,0%,28.6
diamond shaped scarf,0,5,0%,33.2
scarf weave,0,5,0%,49.2
weave dream catcher,0,5,0%,57.6
patterned scarf,0,5,0%,64.6
best novelty purses,0,5,0%,71.4
novelty handbag,0,5,0%,72.6
perennial cushion,0,4,0%,7
weavershop,0,4,0%,8
ukcraftfairs.com,0,4,0%,33
weaver shop,0,4,0%,38.25
ann weaver,0,4,0%,52.75
weavers near me,0,4,0%,83.75
twill bag,0,4,0%,85.25
periwinkle scarf,0,4,0%,88
#noveltypurse,0,3,0%,8
brooks scarf,0,3,0%,11.67
dreamweavers cushions,0,3,0%,21.67
redandgrey,0,3,0%,30
deflected doubleweave,0,3,0%,40
weaver solution,0,3,0%,42.67
weaver bag,0,3,0%,50
weaver bags,0,3,0%,52.67
novelty purses and bags,0,3,0%,57.67
novelty handbags,0,3,0%,84.33
what is deflected double weave,0,2,0%,1
#deflecteddoubleweave,0,2,0%,11
perennial style makers retailers,0,2,0%,11
jazzi bag,0,2,0%,14
dreamweaver cushions,0,2,0%,34.5
red and gray cushions,0,2,0%,45
double weave,0,2,0%,49.5
weaving double weave,0,2,0%,50
scarf flower bouquet,0,2,0%,52.5
weaver.com,0,2,0%,55
scarf bouquets,0,2,0%,70.5
weaver material,0,2,0%,81.5
anna weaver,0,2,0%,89.5
novelty bags handbag,0,2,0%,91.5
weaver cabin,0,2,0%,92.5
28 december 2026,0,1,0%,1
arts and craft fairs near me,0,1,0%,1
craft fairs,0,1,0%,1
craft fairs 2026,0,1,0%,1
craft fairs near me this weekend,0,1,0%,1
craft shows 2026 uk,0,1,0%,1
craft stalls near me,0,1,0%,1
embroidery ottawa,0,1,0%,1
free handmade craft fairs near me,0,1,0%,1
handmade craft fairs near me,0,1,0%,1
local craft fairs near me,0,1,0%,1
scarves,0,1,0%,1
spring craft fair,0,1,0%,1
what is papier mache,0,1,0%,1
craft fair liverpool,0,1,0%,2
craft sales near me,0,1,0%,2
collage and decollage,0,1,0%,4
craft fair uk,0,1,0%,5
table matts,0,1,0%,5
art and craft fairs near me,0,1,0%,6
my weavers,0,1,0%,6
nature weaver shop,0,1,0%,6
lapwrap,0,1,0%,8
weaver collection,0,1,0%,10
women's scarves canvas,0,1,0%,11
inkle loom,0,1,0%,12
painted blanket box,0,1,0%,12
pren,0,1,0%,12
versatile scarves,0,1,0%,14
asymmetric bag,0,1,0%,18
cabin scarf,0,1,0%,18
deflected double weave book,0,1,0%,18
novelty bags meaning,0,1,0%,22
scarf bouquet,0,1,0%,26
double weaver,0,1,0%,32
what is double weave,0,1,0%,35
crafts fairs near me,0,1,0%,44
asymmetrical bags,0,1,0%,45
weaver weaving,0,1,0%,47
asymetrical design,0,1,0%,51
twill purse,0,1,0%,51
weave cushion,0,1,0%,56
double weave pattern,0,1,0%,58
asymmetric handbag,0,1,0%,60
square shaped bags,0,1,0%,64
weave a scarf,0,1,0%,71
weaver honey,0,1,0%,74
ann marie weaver,0,1,0%,79
dream weaver bags,0,1,0%,87
undulated,0,1,0%,87
golden scarves,0,1,0%,91
twill bags,0,1,0%,93
weaver blanket,0,1,0%,95
eugene weaver,0,1,0%,198